Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"
SUN2	UNC84B	ENSG00000100242	"Sad1 and UNC84 domain containing 2"	Q9UH99	22	38733290-38794143	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Meiosis		
NUP98	"NUP196, NUP96, Nup98-96, Nup98-Nup96"	ENSG00000110713	"Nucleoporin 98 and 96 precursor"	P52948	11	3671083-3797792	"Cancer-related genes, Disease related genes, Essential proteins, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Host-virus interaction, mRNA transport, Protein transport, Translocation, Transport"	"Hydrolase, Protease, Serine protease"	"Cancer-related genes"
LMNA	"CMD1A, HGPS, LGMD1B, LMN1, LMNL1, MADA, PRO1"	ENSG00000160789	"Lamin A/C"	P02545	1	156082573-156140081	"Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			"Cancer-related genes, Cardiomyopathy, Charcot-Marie-Tooth disease, Congenital muscular dystrophy, Disease variant, Emery-Dreifuss muscular dystrophy, Limb-girdle muscular dystrophy, Neurodegeneration, Neuropathy"
TMEM201	"Ima1, NET5, RP13-15M17.2, SAMP1"	ENSG00000188807	"Transmembrane protein 201"	Q5SNT2	1	9588911-9614877	"Predicted membrane proteins, Transporters"	Angiogenesis		
SUN1	"FLJ12407, KIAA0810, UNC84A"	ENSG00000164828	"Sad1 and UNC84 domain containing 1"	O94901	7	816615-896435	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Differentiation, Meiosis, Spermatogenesis"		
NUP133	FLJ10814	ENSG00000069248	"Nucleoporin 133"	Q8WUM0	1	229440259-229508341	"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		"Disease variant, Epilepsy, Intellectual disability"
NUP153	HNUP153	ENSG00000124789	"Nucleoporin 153"	P49790	6	17615035-17706925	"Essential proteins, Metabolic proteins, Predicted intracellular proteins, Transporters"	"Host-virus interaction, mRNA transport, Protein transport, Translocation, Transport, Viral penetration into host nucleus, Virus entry into host cell"	DNA-binding	
NUP62	"DKFZp547L134, FLJ20822, FLJ43869, IBSN, MGC841, p62, SNDI"	ENSG00000213024	"Nucleoporin 62"	P37198	19	49906825-49929764	"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"Host-virus interaction, mRNA transport, Protein transport, Translocation, Transport"		"Disease variant"
TPR		ENSG00000047410	"Translocated promoter region, nuclear basket protein"	P12270	1	186311652-186375693	"Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"Cell cycle, Cell division, Mitosis, mRNA transport, Protein transport, Translocation, Transport"		"Cancer-related genes, Disease variant, Intellectual disability, Proto-oncogene"
LMNB1		ENSG00000113368	"Lamin B1"	P20700	5	126776623-126837020	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			"Disease variant, Intellectual disability, Leukodystrophy, Primary microcephaly"
NUP93	KIAA0095	ENSG00000102900	"Nucleoporin 93"	Q8N1F7	16	56730118-56850286	"Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		"Cancer-related genes, Disease variant"
LMNB2	LMN2	ENSG00000176619	"Lamin B2"	Q03252	19	2427638-2456959	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"			"Disease variant, Epilepsy, Intellectual disability, Neurodegeneration, Primary microcephaly"
RANBP2	"ADANE, ANE1, NUP358"	ENSG00000153201	"RAN binding protein 2"	P49792	2	108719482-108785810	"Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport, Ubl conjugation pathway"	"RNA-binding, Transferase"	"Cancer-related genes"
NUP155	"KIAA0791, N155"	ENSG00000113569	"Nucleoporin 155"	O75694	5	37288137-37371106	"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		"Atrial fibrillation, Disease variant"
NUP214	"CAIN, CAN, D9S46E, N214"	ENSG00000126883	"Nucleoporin 214"	P35658	9	131125573-131234663	"Cancer-related genes, Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"	"Host-virus interaction, mRNA transport, Protein transport, Translocation, Transport"		"Cancer-related genes, Disease variant, Proto-oncogene"
NDC1	"FLJ10407, NET3, TMEM48"	ENSG00000058804	"NDC1 transmembrane nucleoporin"	Q9BTX1	1	53765478-53838463	"Essential proteins, Metabolic proteins, Predicted membrane proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		
SYNE2	"DKFZP434H2235, KIAA1011, Nesp2, Nesprin-2, NUA, NUANCE, SYNE-2"	ENSG00000054654	"Spectrin repeat containing nuclear envelope protein 2"	Q8WXH0	14	63761899-64226433	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"		Actin-binding	"Disease variant, Emery-Dreifuss muscular dystrophy"
SYNE3	"C14orf139, C14orf49, FLJ25605, LINC00341, NCRNA00341, Nesp3, Nesprin-3, NET53"	ENSG00000176438	"Spectrin repeat containing nuclear envelope family member 3"	Q6ZMZ3	14	95407266-95516650	"Predicted intracellular proteins, Predicted membrane proteins"			
NEMP1	"KIAA0286, TMEM194, TMEM194A"	ENSG00000166881	"Nuclear envelope integral membrane protein 1"	O14524	12	57055643-57088063	"Predicted membrane proteins, Transporters"	"Erythrocyte maturation"		
NUP35	MP44	ENSG00000163002	"Nucleoporin 35"	Q8NFH5	2	183117513-183161680	"Essential proteins, Metabolic proteins, Predicted intracellular proteins, Transporters"	"mRNA transport, Protein transport, Translocation, Transport"		
NXF1	"DKFZp667O0311, Mex67, TAP"	ENSG00000162231	"Nuclear RNA export factor 1"	Q9UBU9	11	62792123-62806302	"Essential proteins, Predicted intracellular proteins, Transporters"	"Host-virus interaction, mRNA transport, Protein transport, Translocation, Transport"	RNA-binding	
KPNB1	"IMB1, Impnb, IPO1, IPOB, MGC2155, MGC2156, MGC2157, NTF97"	ENSG00000108424	"Karyopherin subunit beta 1"	Q14974	17	47649476-47685505	"Essential proteins, Plasma proteins, Predicted intracellular proteins, Transporters"	"Host-virus interaction, Protein transport, Transport"		
SYNE1	"8B, ARCA1, C6orf98, CPG2, dJ45H2.2, enaptin, KIAA0796, MYNE1, Nesp1, Nesprin-1, SCAR8, SYNE-1B"	ENSG00000131018	"Spectrin repeat containing nuclear envelope protein 1"	Q8NF91	6	152121687-152637801	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Differentiation, Spermatogenesis"	Actin-binding	"Cancer-related genes, Disease variant, Emery-Dreifuss muscular dystrophy, Neurodegeneration"
CTDNEP1	"DULLARD, HSA011916, NET56"	ENSG00000175826	"CTD nuclear envelope phosphatase 1"	O95476	17	7243591-7252491	"Enzymes, Essential proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Host-virus interaction"	"Hydrolase, Protein phosphatase"	
